      x   uxy_mean
  0.000      0.000
 36.727      2.330
 67.315      3.969
101.582      5.950
125.575      7.299
144.000      8.479
162.424      9.658
173.805     10.396
188.491     11.257
203.870     12.151
212.822     12.902
235.602     14.699
255.832     15.975
280.055     17.817
300.130     19.509
311.802     20.606
324.966     21.382
335.397     22.478
353.851     24.139
369.057     25.658
379.918     26.719
404.183     29.257
425.102     31.670
445.981     34.090
468.079     36.503
487.227     39.700
499.983     41.158
521.721     44.748
533.332     46.649
544.266     48.579
559.570     51.702
579.013     55.819
595.398     59.445
603.325     61.085
618.766     66.456
627.576     69.295
637.327     72.171
647.033     75.606
655.744     79.770
664.129     84.498
670.829     88.152
676.416     91.251
682.022     94.671
691.793     99.993
700.250    104.092
703.340     99.044
707.163     90.915
709.052     86.490
712.899     78.762
714.322     75.543
716.236     71.519
718.763     67.717
720.892     62.627
727.322     48.083
733.841     34.988
738.120     25.171
744.344     13.137
746.909      8.003
750.000      0.000
