      x           H
  0.000    3420.561
  3.440    3420.561
 15.485    3411.215
 26.326    3401.869
 36.970    3402.384
 54.857    3385.490
 71.465    3366.387
 88.149    3352.131
109.313    3326.469
126.951    3306.510
140.750    3289.720
157.265    3270.870
168.449    3252.336
180.495    3242.991
190.128    3224.299
202.639    3201.014
215.680    3176.778
234.969    3146.840
243.785    3129.732
260.317    3099.794
275.196    3074.133
290.073    3041.343
304.396    3001.426
330.022    2960.795
342.971    2935.134
363.907    2884.524
379.334    2847.458
393.659    2813.243
407.156    2775.820
422.306    2734.833
431.490    2716.300
447.647    2663.551
469.682    2599.398
491.164    2528.829
502.732    2492.476
519.991    2436.876
534.954    2385.554
543.490    2351.339
558.910    2291.462
574.164    2224.299
589.745    2157.453
601.304    2092.587
620.024    2004.911
638.189    1906.542
653.598    1808.174
667.171    1718.359
675.882    1656.344
691.559    1534.453
702.263    1376.208
707.606    1252.336
711.833    1115.318
716.668     955.240
720.925     794.551
725.486     680.144
732.060     542.214
735.336     433.154
739.712     319.816
744.632     177.570
750.000       0.000
